epoch,step,train_loss,val_auc,val_f1,val_loss,val_map
0,156,,0.2369881421327591,0.0,0.05706818401813507,0.036443982273340225
0,156,0.10028810054063797,,,,
1,313,,0.2550320029258728,0.0,0.0572909452021122,0.04194316267967224
1,313,0.05941368639469147,,,,
2,470,,0.2772234082221985,0.0,0.05589163675904274,0.04689052700996399
2,470,0.058047737926244736,,,,
3,627,,0.28956830501556396,0.0013592118630185723,0.05560049042105675,0.05001955106854439
3,627,0.05735648423433304,,,,
4,784,,0.29432013630867004,0.0019034622237086296,0.055301886051893234,0.05129443109035492
4,784,0.056976113468408585,,,,
5,941,,0.3093251883983612,0.0038078820798546076,0.054327886551618576,0.05991283431649208
5,941,0.05636349692940712,,,,
6,1098,,0.3181052803993225,0.005326897371560335,0.05303247645497322,0.0651170164346695
6,1098,0.05465416982769966,,,,
7,1255,,0.3278365135192871,0.005884354934096336,0.05248171091079712,0.0703638568520546
7,1255,0.05382474139332771,,,,
8,1412,,0.3278980851173401,0.005909283179789782,0.05216394364833832,0.07096078991889954
8,1412,0.05343465134501457,,,,
9,1569,,0.33084094524383545,0.005983805749565363,0.05178220942616463,0.07137636095285416
9,1569,0.05324820801615715,,,,
10,1726,,0.33146965503692627,0.006086834706366062,0.05177618935704231,0.0709531381726265
10,1726,0.05315186828374863,,,,
11,1883,,0.33232006430625916,0.006708470173180103,0.05163998156785965,0.072261281311512
11,1883,0.05273189768195152,,,,
12,2040,,0.3316369354724884,0.005385361146181822,0.0518428198993206,0.07204441726207733
12,2040,0.05271375924348831,,,,
13,2197,,0.3301265835762024,0.005726473871618509,0.052892014384269714,0.07137584686279297
13,2197,0.05270740017294884,,,,
14,2354,,0.3334824740886688,0.006469273939728737,0.05172588676214218,0.07264958322048187
14,2354,0.05245736986398697,,,,
15,2511,,0.33273977041244507,0.006293192505836487,0.05149853974580765,0.07426009327173233
15,2511,0.05246482044458389,,,,
16,2668,,0.33502042293548584,0.006542344577610493,0.05119713768362999,0.07422269880771637
16,2668,0.05240919440984726,,,,
17,2825,,0.3361330032348633,0.006789655424654484,0.05122239142656326,0.07506925612688065
17,2825,0.05222437158226967,,,,
18,2982,,0.3355410695075989,0.006545999553054571,0.05102405697107315,0.07548131048679352
18,2982,0.05221393331885338,,,,
19,3139,,0.3330502212047577,0.00676144752651453,0.052016738802194595,0.07348346710205078
19,3139,0.05206974223256111,,,,
20,3296,,0.3352469801902771,0.006559820845723152,0.05120372027158737,0.07516463100910187
20,3296,0.052026987075805664,,,,
21,3453,,0.3380536139011383,0.007149550598114729,0.05076928064227104,0.07601886242628098
21,3453,0.05200793221592903,,,,
22,3610,,0.3365134298801422,0.006910047959536314,0.05129404366016388,0.07588903605937958
22,3610,0.05205443128943443,,,,
23,3767,,0.3387438654899597,0.0067948345094919205,0.05076344311237335,0.07658946514129639
23,3767,0.05184243246912956,,,,
24,3924,,0.3331918716430664,0.008321283385157585,0.051972124725580215,0.07572377473115921
24,3924,0.0518156997859478,,,,
25,4081,,0.3402367830276489,0.006676409859210253,0.050890158861875534,0.07914797961711884
25,4081,0.05188688263297081,,,,
