epoch,step,train_loss,train_loss_epoch,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/fc.3.bias,weight_norm/fc.3.weight,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_hh_l1,weight_norm/gru.bias_ih_l0,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_hh_l0,weight_norm/gru.weight_hh_l1,weight_norm/gru.weight_ih_l0,weight_norm/gru.weight_ih_l1
0,0,,,0.4014035761356354,6.5380167961120605,0.7289140224456787,8.184554100036621,0.9953719973564148,1.0184468030929565,1.004360556602478,0.9859229922294617,16.002540588378906,16.01228141784668,27.717453002929688,15.999517440795898
0,0,,,,,,,,,,,,,,
0,9,56.14259338378906,,,,,,,,,,,,,
0,19,33.44342041015625,,,,,,,,,,,,,
0,29,26.065105438232422,,,,,,,,,,,,,
0,39,25.822067260742188,,,,,,,,,,,,,
0,49,25.792848587036133,,,,,,,,,,,,,
0,59,25.956026077270508,,,,,,,,,,,,,
0,69,25.88446617126465,,,,,,,,,,,,,
0,79,25.662717819213867,,,,,,,,,,,,,
0,89,25.8222713470459,,,,,,,,,,,,,
0,99,25.853349685668945,,,,,,,,,,,,,
0,109,25.743858337402344,,,,,,,,,,,,,
0,119,25.869403839111328,,,,,,,,,,,,,
0,129,25.747207641601562,,,,,,,,,,,,,
0,139,25.837661743164062,,,,,,,,,,,,,
0,149,25.789508819580078,,,,,,,,,,,,,
0,159,25.733125686645508,,,,,,,,,,,,,
0,169,25.8781795501709,,,,,,,,,,,,,
0,179,25.822912216186523,,,,,,,,,,,,,
0,189,25.92414093017578,,,,,,,,,,,,,
0,199,25.928665161132812,,,,,,,,,,,,,
0,209,25.891733169555664,,,,,,,,,,,,,
0,219,25.68914031982422,,,,,,,,,,,,,
0,229,25.742835998535156,,,,,,,,,,,,,
0,239,25.881406784057617,,,,,,,,,,,,,
0,249,25.96215057373047,,,,,,,,,,,,,
0,259,25.745983123779297,,,,,,,,,,,,,
0,269,25.745771408081055,,,,,,,,,,,,,
0,279,25.903425216674805,,,,,,,,,,,,,
0,289,25.894882202148438,,,,,,,,,,,,,
0,299,25.95126724243164,,,,,,,,,,,,,
0,309,25.795957565307617,,,,,,,,,,,,,
0,319,25.778432846069336,,,,,,,,,,,,,
0,329,25.769996643066406,,,,,,,,,,,,,
0,339,25.848543167114258,,,,,,,,,,,,,
0,349,25.85845184326172,,,,,,,,,,,,,
0,359,25.880840301513672,,,,,,,,,,,,,
0,369,25.712379455566406,,,,,,,,,,,,,
0,379,25.688581466674805,,,,,,,,,,,,,
0,389,25.68675994873047,,,,,,,,,,,,,
0,399,25.77132797241211,,,,,,,,,,,,,
0,409,25.756532669067383,,,,,,,,,,,,,
0,419,25.985980987548828,,,,,,,,,,,,,
0,429,25.870040893554688,,,,,,,,,,,,,
0,439,25.84490966796875,,,,,,,,,,,,,
0,449,25.90320587158203,,,,,,,,,,,,,
0,459,25.942493438720703,,,,,,,,,,,,,
0,469,25.92669677734375,,,,,,,,,,,,,
0,479,25.732873916625977,,,,,,,,,,,,,
0,489,25.95699691772461,,,,,,,,,,,,,
